STATION,NAME,DATE,PRCP,SNWD,TAVG,TMAX,TMIN,WDFG,WSFG
CA006131983,"DELHI CS, ON CA",01-01-2020,0.02,2,32,36,27,,
CA006131983,"DELHI CS, ON CA",02-01-2020,0,1.6,40,44,36,21,80.5
CA006131983,"DELHI CS, ON CA",03-01-2020,0,,41,45,38,,
CA006131983,"DELHI CS, ON CA",04-01-2020,0.09,,34,38,29,31,80.5
CA006131983,"DELHI CS, ON CA",05-01-2020,0.24,,32,35,29,,
CA006131983,"DELHI CS, ON CA",06-01-2020,0.02,0.8,33,36,31,23,98.4
CA006131983,"DELHI CS, ON CA",07-01-2020,0,0.4,32,39,26,28,76.1
CA006131983,"DELHI CS, ON CA",08-01-2020,0.01,0,26,32,19,28,102.9
CA006131983,"DELHI CS, ON CA",09-01-2020,,0.8,,,,,
CA006131983,"DELHI CS, ON CA",10-01-2020,0.5,,44,49,40,20,85
CA006131983,"DELHI CS, ON CA",11-01-2020,1.58,,47,57,37,19,109.6
CA006131983,"DELHI CS, ON CA",12-01-2020,0.41,,32,38,26,27,105.1
CA006131983,"DELHI CS, ON CA",13-01-2020,0.04,,33,38,28,,
CA006131983,"DELHI CS, ON CA",14-01-2020,0,,34,41,27,,
CA006131983,"DELHI CS, ON CA",15-01-2020,0,,37,41,33,,
CA006131983,"DELHI CS, ON CA",16-01-2020,0.03,,27,37,18,31,114.1
CA006131983,"DELHI CS, ON CA",17-01-2020,0,,19,22,15,,
CA006131983,"DELHI CS, ON CA",18-01-2020,0.81,,29,39,18,22,94
CA006131983,"DELHI CS, ON CA",19-01-2020,0.04,2.4,20,32,8,26,100.7
CA006131983,"DELHI CS, ON CA",20-01-2020,0,3.1,11,21,0,,
CA006131983,"DELHI CS, ON CA",21-01-2020,0,3.1,18,23,13,,
CA006131983,"DELHI CS, ON CA",22-01-2020,0,3.1,22,30,13,21,71.6
CA006131983,"DELHI CS, ON CA",23-01-2020,0,3.1,28,39,18,,
CA006131983,"DELHI CS, ON CA",24-01-2020,0.59,2.8,35,40,30,,
CA006131983,"DELHI CS, ON CA",25-01-2020,0.06,0.8,37,41,33,,
CA006131983,"DELHI CS, ON CA",26-01-2020,0.09,,34,36,33,,
CA006131983,"DELHI CS, ON CA",27-01-2020,0,,32,33,31,,
CA006131983,"DELHI CS, ON CA",28-01-2020,0,,31,33,28,,
CA006131983,"DELHI CS, ON CA",29-01-2020,0,,27,32,22,,
CA006131983,"DELHI CS, ON CA",30-01-2020,0,,27,33,20,,
CA006131983,"DELHI CS, ON CA",31-01-2020,0,,29,31,27,,
CA006131983,"DELHI CS, ON CA",01-02-2020,0.11,,29,33,24,,
CA006131983,"DELHI CS, ON CA",02-02-2020,0.15,0.4,34,38,30,,
CA006131983,"DELHI CS, ON CA",03-02-2020,0,1.2,37,43,31,,
CA006131983,"DELHI CS, ON CA",04-02-2020,0,,30,35,26,32,87.2
CA006131983,"DELHI CS, ON CA",05-02-2020,0.07,,25,29,20,34,76.1
CA006131983,"DELHI CS, ON CA",06-02-2020,0.11,0.4,24,26,23,,
CA006131983,"DELHI CS, ON CA",07-02-2020,0.03,0.4,22,27,16,34,80.5
CA006131983,"DELHI CS, ON CA",08-02-2020,0.01,2,18,23,13,,
CA006131983,"DELHI CS, ON CA",09-02-2020,0.37,2,26,35,16,17,73.8
CA006131983,"DELHI CS, ON CA",10-02-2020,0.05,3.1,31,37,25,,
CA006131983,"DELHI CS, ON CA",11-02-2020,0,1.6,31,35,28,30,87.2
CA006131983,"DELHI CS, ON CA",12-02-2020,0.06,2,27,32,22,,
